### 1. Основные статистические характеристики выполнения заданий КИМ в 2025 году

| Номер задания в КИМ | Проверяемые элементы содержания / умения | Уровень сложности задания | средний, % | в группе не преодолевших минимальный балл, % | в группе от минимального до 60 т.б. | в группе от 61 до 80 т.б. | в группе от 81 до 100 т.б. |
|---------------------|-------------------------------------------|----------------------------|-----------:|---------------------------------------------:|-----------------------------------:|---------------------------:|----------------------------:|
| 1 | Умение оперировать понятиями: плоский угол, площадь фигуры, подобные фигуры; умение использовать при решении задач изученные факты и теоремы планиметрии; умение вычислять геометрические величины (длина, угол, площадь), используя изученные формулы и методы | Б | 64,7 | 11,1 | 43,2 | 84,7 | 95,6 |
| 2 | Умение оперировать понятиями: вектор, координаты вектора, сумма векторов, произведение вектора на число, скалярное произведение, угол между векторами | Б | 93,8 | 57,1 | 92,6 | 98,7 | 99,0 |
| 3 | Умение оперировать понятиями: точка, прямая, плоскость, величина угла, плоский угол, двугранный угол, угол между прямыми, угол между прямой и плоскостью, угол между плоскостями, расстояние от точки до плоскости, расстояние между прямыми, расстояние между плоскостями, объём фигуры, площадь поверхности; умение использовать геометрические отношения при решении задач; умение вычислять геометрические величины (длина, угол, площадь, объём, площадь поверхности), используя изученные формулы и методы; умение использовать при решении задач изученные факты и теоремы планиметрии | Б | 81,1 | 17,9 | 69,3 | 96,7 | 98,7 |
| 4 | Умение оперировать понятиями: случайное событие, вероятность случайного события; умение вычислять вероятность | Б | 95,4 | 77,4 | 94,1 | 98,1 | 99,7 |
| 5 | Умение оперировать понятиями: случайное событие, вероятность случайного события; умение вычислять вероятность с использованием графических методов; применять формулы сложения и умножения вероятностей, формулу полной вероятности, комбинаторные факты и формулы | П | 64,8 | 17,9 | 46,4 | 81,7 | 93,6 |
| 6 | Умение решать уравнения, неравенства и системы с помощью различных приёмов | Б | 91,4 | 36,9 | 89,1 | 99,2 | 99,5 |
| 7 | Умение выполнять вычисление значений и преобразования выражений со степенями и логарифмами, преобразования дробно-рациональных выражений | Б | 89,1 | 39,3 | 83,7 | 98,5 | 99,5 |
| 8 | Умение оперировать понятиями: функция, экстремум функции, наибольшее и наименьшее значения функции на промежутке, производная функции, первообразная; находить уравнение касательной к графику функции; умение находить производные элементарных функций; умение использовать производную для исследования функций, находить наибольшие и наименьшие значения функций; находить площади фигур с помощью интеграла | Б | 76,4 | 11,9 | 62,6 | 93,0 | 98,2 |
| 9 | Умение моделировать реальные ситуации на языке математики; составлять выражения, уравнения, неравенства и их системы по условию задачи, исследовать построенные модели с использованием аппарата алгебры, исследовать полученное решение и оценивать правдоподобность результатов | П | 79,2 | 13,9 | 67,7 | 94,7 | 97,4 |
| 10 | Умение решать текстовые задачи разных типов, составлять выражения, уравнения, неравенства и их системы по условию задачи, исследовать полученное решение и оценивать правдоподобность результатов | П | 67,1 | 9,5 | 46,4 | 87,6 | 95,9 |
| 11 | Умение выражать формулами зависимости между величинами; использовать свойства и графики функций для решения уравнений | П | 70,3 | 6,0 | 46,0 | 94,7 | 99,2 |
| 12 | Умение оперировать понятиями: экстремум функции, наибольшее и наименьшее значения функции на промежутке; умение находить производные элементарных функций; умение использовать производную для исследования функций, находить наибольшие и наименьшие значения функций | П | 74,8 | 9,5 | 59,6 | 92,9 | 95,9 |
| 13 | Умение решать уравнения, неравенства и системы с помощью различных приёмов | П | 33,1 | 0,2 | 1,4 | 53,1 | 94,1 |
| 14 | Умение оперировать понятиями: точка, прямая, плоскость, отрезок, луч, величина угла, плоский угол, двугранный угол, трехгранный угол, скрещивающиеся прямые, параллельность и перпендикулярность прямых и плоскостей, угол между прямыми, угол между прямой и плоскостью, угол между плоскостями, расстояние от точки до плоскости, расстояние между прямыми, расстояние между плоскостями; площадь фигуры, объём фигуры, многогранник, поверхность вращения, площадь поверхности, сечение; умение строить сечение многогранника, изображать многогранники, фигуры и поверхности вращения, их сечения; использовать геометрические отношения при решении задач; находить и вычислять геометрические величины (длина, угол, площадь, объём, площадь поверхности), используя изученные формулы и методы; умение использовать при решении задач изученные факты и теоремы планиметрии | П | 3,2 | 0,0 | 0,1 | 1,3 | 27,4 |
| 15 | Умение решать уравнения, неравенства и системы с помощью различных приёмов | П | 17,8 | 0,0 | 0,7 | 21,5 | 84,4 |
| 16 | Умение моделировать реальные ситуации на языке математики; составлять выражения, уравнения, неравенства и их системы по условию задачи, исследовать построенные модели с использованием аппарата алгебры, интерпретировать полученный результат; умение решать текстовые задачи разных типов, в том числе задачи из области управления личными и семейными финансами | П | 9,2 | 0,0 | 0,2 | 7,7 | 60,9 |
| 17 | Умение оперировать понятиями: точка, прямая, отрезок, луч, величина угла; умение использовать при решении задач изученные факты и теоремы планиметрии, использовать геометрические отношения при решении задач; умение находить и вычислять геометрические величины (длина, угол, площадь), используя изученные формулы и методы | П | 11,0 | 0,0 | 0,5 | 9,2 | 71,5 |
| 18 | Умение оперировать понятиями: тождество, тождественное преобразование, уравнение, неравенство, система уравнений и неравенств, равносильность уравнений, неравенств и систем; умение решать уравнения, неравенства и системы с помощью различных приёмов; решать уравнения, неравенства и системы с параметром; умение выражать формулами зависимости между величинами; использовать свойства и графики функций для решения уравнений, неравенств и задач с параметрами | В | 2,3 | 0,0 | 0,0 | 1,2 | 18,7 |
| 19 | Владение методами доказательств, алгоритмами решения задач; умение приводить примеры и контрпримеры, проводить доказательные рассуждения при решении задач, оценивать логическую правильность рассуждений; умение оперировать понятиями: множества натуральных, целых, рациональных, действительных чисел, остаток по модулю; умение использовать признаки делимости, наименьший общий делитель и наименьшее общее кратное; умение выбирать подходящий метод для решения задачи | В | 1,0 | 0,1 | 0,0 | 0,3 | 8,8 |


### 2. Основные статистические характеристики выполнения заданий КИМ в 2025 году

| Номер задания в КИМ | Первичный балл | в группе не преодолевших минимальный балл, % | в группе от минимального до 60 т.б. | в группе от 61 до 80 т.б. | в группе от 81 до 100 т.б. |
|---------------------|----------------|---------------------------------------------:|-----------------------------------:|---------------------------:|----------------------------:|
| 1 | 0 | 88,9 | 56,8 | 15,3 | 4,4 |
| 1 | 1 | 11,1 | 43,2 | 84,7 | 95,6 |
| 2 | 0 | 42,9 | 7,4 | 1,3 | 1,0 |
| 2 | 1 | 57,1 | 92,6 | 98,7 | 99,0 |
| 3 | 0 | 82,1 | 30,7 | 3,3 | 1,3 |
| 3 | 1 | 17,9 | 69,3 | 96,7 | 98,7 |
| 4 | 0 | 22,6 | 5,9 | 1,9 | 0,3 |
| 4 | 1 | 77,4 | 94,1 | 98,1 | 99,7 |
| 5 | 0 | 82,1 | 53,6 | 18,3 | 6,4 |
| 5 | 1 | 17,9 | 46,4 | 81,7 | 93,6 |
| 6 | 0 | 63,1 | 10,9 | 0,8 | 0,5 |
| 6 | 1 | 36,9 | 89,1 | 99,2 | 99,5 |
| 7 | 0 | 60,7 | 16,3 | 1,5 | 0,5 |
| 7 | 1 | 39,3 | 83,7 | 98,5 | 99,5 |
| 8 | 0 | 88,1 | 37,4 | 7,0 | 1,8 |
| 8 | 1 | 11,9 | 62,6 | 93,0 | 98,2 |
| 9 | 0 | 86,1 | 32,3 | 5,3 | 2,6 |
| 9 | 1 | 13,9 | 67,7 | 94,7 | 97,4 |
| 10 | 0 | 90,5 | 53,6 | 12,4 | 4,1 |
| 10 | 1 | 9,5 | 46,4 | 87,6 | 95,9 |
| 11 | 0 | 94,0 | 54,0 | 5,3 | 0,8 |
| 11 | 1 | 6,0 | 46,0 | 94,7 | 99,2 |
| 12 | 0 | 90,5 | 40,4 | 7,1 | 4,1 |
| 12 | 1 | 9,5 | 59,6 | 92,9 | 95,9 |
| 13 | 0 | 99,8 | 98,6 | 46,9 | 5,9 |
| 13 | 1 | 0,2 | 1,4 | 53,1 | 94,1 |
| 14 | 0 | 100,0 | 99,9 | 98,7 | 72,6 |
| 14 | 1 | 0,0 | 0,1 | 1,3 | 27,4 |
| 15 | 0 | 100,0 | 99,3 | 78,5 | 15,6 |
| 15 | 1 | 0,0 | 0,7 | 21,5 | 84,4 |
| 16 | 0 | 100,0 | 99,8 | 92,3 | 39,1 |
| 16 | 1 | 0,0 | 0,2 | 7,7 | 60,9 |
| 17 | 0 | 100,0 | 99,5 | 90,8 | 28,5 |
| 17 | 1 | 0,0 | 0,5 | 9,2 | 71,5 |
| 18 | 0 | 100,0 | 100,0 | 98,8 | 81,3 |
| 18 | 1 | 0,0 | 0,0 | 1,2 | 18,7 |
| 19 | 0 | 99,9 | 100,0 | 99,7 | 91,2 |
| 19 | 1 | 0,1 | 0,0 | 0,3 | 8,8 |
